Year,CountyFIPS,Yield,State,County,StateName
1980,17001,82.0,IL,ADAMS,Illinois
1980,17003,49.0,IL,ALEXANDER,Illinois
1980,17005,63.0,IL,BOND,Illinois
1980,17007,116.0,IL,BOONE,Illinois
1980,17009,101.0,IL,BROWN,Illinois
1980,17011,113.0,IL,BUREAU,Illinois
1980,17013,78.0,IL,CALHOUN,Illinois
1980,17015,113.0,IL,CARROLL,Illinois
1980,17017,105.0,IL,CASS,Illinois
1980,17019,82.0,IL,CHAMPAIGN,Illinois
1980,17021,108.0,IL,CHRISTIAN,Illinois
1980,17023,104.0,IL,CLARK,Illinois
1980,17025,42.0,IL,CLAY,Illinois
1980,17027,50.0,IL,CLINTON,Illinois
1980,17029,94.0,IL,COLES,Illinois
1980,17031,98.0,IL,COOK,Illinois
1980,17033,95.0,IL,CRAWFORD,Illinois
1980,17035,92.0,IL,CUMBERLAND,Illinois
1980,17039,81.0,IL,DE WITT,Illinois
1980,17041,82.0,IL,DOUGLAS,Illinois
1980,17045,83.0,IL,EDGAR,Illinois
1980,17047,66.0,IL,EDWARDS,Illinois
1980,17049,87.0,IL,EFFINGHAM,Illinois
1980,17051,72.0,IL,FAYETTE,Illinois
1980,17053,63.0,IL,FORD,Illinois
1980,17055,50.0,IL,FRANKLIN,Illinois
1980,17057,92.0,IL,FULTON,Illinois
1980,17059,68.0,IL,GALLATIN,Illinois
1980,17061,69.0,IL,GREENE,Illinois
1980,17063,93.0,IL,GRUNDY,Illinois
1980,17065,67.0,IL,HAMILTON,Illinois
1980,17067,97.0,IL,HANCOCK,Illinois
1980,17069,60.0,IL,HARDIN,Illinois
1980,17071,112.0,IL,HENDERSON,Illinois
1980,17073,117.0,IL,HENRY,Illinois
1980,17075,76.0,IL,IROQUOIS,Illinois
1980,17077,41.0,IL,JACKSON,Illinois
1980,17079,89.0,IL,JASPER,Illinois
1980,17081,50.0,IL,JEFFERSON,Illinois
1980,17083,72.0,IL,JERSEY,Illinois
1980,17085,114.0,IL,JO DAVIESS,Illinois
1980,17087,51.0,IL,JOHNSON,Illinois
1980,17089,119.0,IL,KANE,Illinois
1980,17091,83.0,IL,KANKAKEE,Illinois
1980,17093,118.0,IL,KENDALL,Illinois
1980,17095,98.0,IL,KNOX,Illinois
1980,17097,97.0,IL,LAKE,Illinois
1980,17101,75.0,IL,LAWRENCE,Illinois
1980,17103,122.0,IL,LEE,Illinois
1980,17105,82.0,IL,LIVINGSTON,Illinois
1980,17107,75.0,IL,LOGAN,Illinois
1980,17109,106.0,IL,MCDONOUGH,Illinois
1980,17111,116.0,IL,MCHENRY,Illinois
1980,17113,83.0,IL,MCLEAN,Illinois
1980,17115,78.0,IL,MACON,Illinois
1980,17117,90.0,IL,MACOUPIN,Illinois
1980,17119,79.0,IL,MADISON,Illinois
1980,17121,51.0,IL,MARION,Illinois
1980,17123,97.0,IL,MARSHALL,Illinois
1980,17125,69.0,IL,MASON,Illinois
1980,17127,49.0,IL,MASSAC,Illinois
1980,17129,92.0,IL,MENARD,Illinois
1980,17131,115.0,IL,MERCER,Illinois
1980,17133,69.0,IL,MONROE,Illinois
1980,17135,102.0,IL,MONTGOMERY,Illinois
1980,17137,114.0,IL,MORGAN,Illinois
1980,17139,93.0,IL,MOULTRIE,Illinois
1980,17141,119.0,IL,OGLE,Illinois
1980,17143,98.0,IL,PEORIA,Illinois
1980,17145,44.0,IL,PERRY,Illinois
1980,17147,82.0,IL,PIATT,Illinois
1980,17149,78.0,IL,PIKE,Illinois
1980,17151,53.0,IL,POPE,Illinois
1980,17153,52.0,IL,PULASKI,Illinois
1980,17155,110.0,IL,PUTNAM,Illinois
1980,17157,55.0,IL,RANDOLPH,Illinois
1980,17159,60.0,IL,RICHLAND,Illinois
1980,17161,114.0,IL,ROCK ISLAND,Illinois
1980,17165,56.0,IL,SALINE,Illinois
1980,17167,110.0,IL,SANGAMON,Illinois
1980,17169,90.0,IL,SCHUYLER,Illinois
1980,17171,93.0,IL,SCOTT,Illinois
1980,17173,98.0,IL,SHELBY,Illinois
1980,17175,112.0,IL,STARK,Illinois
1980,17177,110.0,IL,STEPHENSON,Illinois
1980,17179,89.0,IL,TAZEWELL,Illinois
1980,17181,52.0,IL,UNION,Illinois
1980,17183,84.0,IL,VERMILION,Illinois
1980,17185,84.0,IL,WABASH,Illinois
1980,17187,114.0,IL,WARREN,Illinois
1980,17189,43.0,IL,WASHINGTON,Illinois
1980,17191,52.0,IL,WAYNE,Illinois
1980,17193,64.0,IL,WHITE,Illinois
1980,17195,118.0,IL,WHITESIDE,Illinois
1980,17197,92.0,IL,WILL,Illinois
1980,17199,46.0,IL,WILLIAMSON,Illinois
1980,17201,110.0,IL,WINNEBAGO,Illinois
1980,17203,94.0,IL,WOODFORD,Illinois
1980,18001,105.8,IN,ADAMS,Indiana
1980,18003,111.9,IN,ALLEN,Indiana
1980,18005,80.1,IN,BARTHOLOMEW,Indiana
1980,18007,84.2,IN,BENTON,Indiana
1980,18009,108.9,IN,BLACKFORD,Indiana
1980,18011,107.8,IN,BOONE,Indiana
1980,18013,82.2,IN,BROWN,Indiana
1980,18015,90.4,IN,CARROLL,Indiana
1980,18017,96.5,IN,CASS,Indiana
1980,18019,88.3,IN,CLARK,Indiana
1980,18021,100.6,IN,CLAY,Indiana
1980,18023,97.6,IN,CLINTON,Indiana
1980,18025,82.0,IN,CRAWFORD,Indiana
1980,18027,106.8,IN,DAVIESS,Indiana
1980,18029,100.6,IN,DEARBORN,Indiana
1980,18031,119.1,IN,DECATUR,Indiana
1980,18035,106.8,IN,DELAWARE,Indiana
1980,18037,92.4,IN,DUBOIS,Indiana
1980,18039,90.4,IN,ELKHART,Indiana
1980,18041,115.0,IN,FAYETTE,Indiana
1980,18043,88.0,IN,FLOYD,Indiana
1980,18045,89.3,IN,FOUNTAIN,Indiana
1980,18047,100.6,IN,FRANKLIN,Indiana
1980,18049,75.0,IN,FULTON,Indiana
1980,18051,100.6,IN,GIBSON,Indiana
1980,18053,108.9,IN,GRANT,Indiana
1980,18055,100.6,IN,GREENE,Indiana
1980,18057,109.9,IN,HAMILTON,Indiana
1980,18059,100.6,IN,HANCOCK,Indiana
1980,18061,92.4,IN,HARRISON,Indiana
1980,18063,114.0,IN,HENDRICKS,Indiana
1980,18065,114.0,IN,HENRY,Indiana
1980,18067,113.0,IN,HOWARD,Indiana
1980,18069,105.8,IN,HUNTINGTON,Indiana
1980,18071,85.2,IN,JACKSON,Indiana
1980,18073,77.0,IN,JASPER,Indiana
1980,18075,111.9,IN,JAY,Indiana
1980,18077,86.3,IN,JEFFERSON,Indiana
1980,18079,89.3,IN,JENNINGS,Indiana
1980,18081,107.8,IN,JOHNSON,Indiana
1980,18083,100.6,IN,KNOX,Indiana
1980,18085,88.3,IN,KOSCIUSKO,Indiana
1980,18087,93.5,IN,LAGRANGE,Indiana
1980,18089,81.1,IN,LAKE,Indiana
1980,18093,91.4,IN,LAWRENCE,Indiana
1980,18095,109.9,IN,MADISON,Indiana
1980,18097,102.7,IN,MARION,Indiana
1980,18099,75.0,IN,MARSHALL,Indiana
1980,18101,107.8,IN,MARTIN,Indiana
1980,18103,93.5,IN,MIAMI,Indiana
1980,18105,106.8,IN,MONROE,Indiana
1980,18107,98.6,IN,MONTGOMERY,Indiana
1980,18109,87.3,IN,MORGAN,Indiana
1980,18111,90.4,IN,NEWTON,Indiana
1980,18113,98.6,IN,NOBLE,Indiana
1980,18115,85.2,IN,OHIO,Indiana
1980,18117,92.4,IN,ORANGE,Indiana
1980,18119,93.5,IN,OWEN,Indiana
1980,18121,84.2,IN,PARKE,Indiana
1980,18123,85.2,IN,PERRY,Indiana
1980,18125,99.6,IN,PIKE,Indiana
1980,18127,79.1,IN,PORTER,Indiana
1980,18129,99.6,IN,POSEY,Indiana
1980,18131,67.8,IN,PULASKI,Indiana
1980,18133,84.2,IN,PUTNAM,Indiana
1980,18135,118.1,IN,RANDOLPH,Indiana
1980,18137,99.6,IN,RIPLEY,Indiana
1980,18139,113.0,IN,RUSH,Indiana
1980,18141,78.1,IN,ST. JOSEPH,Indiana
1980,18143,102.7,IN,SCOTT,Indiana
1980,18145,102.7,IN,SHELBY,Indiana
1980,18147,90.4,IN,SPENCER,Indiana
1980,18149,66.8,IN,STARKE,Indiana
1980,18151,101.7,IN,STEUBEN,Indiana
1980,18153,105.8,IN,SULLIVAN,Indiana
1980,18155,89.3,IN,SWITZERLAND,Indiana
1980,18157,97.6,IN,TIPPECANOE,Indiana
1980,18159,109.9,IN,TIPTON,Indiana
1980,18161,114.0,IN,UNION,Indiana
1980,18163,96.5,IN,VANDERBURGH,Indiana
1980,18165,80.1,IN,VERMILLION,Indiana
1980,18167,86.3,IN,VIGO,Indiana
1980,18169,92.4,IN,WABASH,Indiana
1980,18171,96.5,IN,WARREN,Indiana
1980,18173,93.5,IN,WARRICK,Indiana
1980,18175,98.6,IN,WASHINGTON,Indiana
1980,18177,115.0,IN,WAYNE,Indiana
1980,18179,105.8,IN,WELLS,Indiana
1980,18181,89.3,IN,WHITE,Indiana
1980,18183,96.5,IN,WHITLEY,Indiana
1980,19001,89.7,IA,ADAIR,Iowa
1980,19003,78.4,IA,ADAMS,Iowa
1980,19005,114.5,IA,ALLAMAKEE,Iowa
1980,19007,86.8,IA,APPANOOSE,Iowa
1980,19009,90.6,IA,AUDUBON,Iowa
1980,19011,105.7,IA,BENTON,Iowa
1980,19013,117.8,IA,BLACK HAWK,Iowa
1980,19015,118.8,IA,BOONE,Iowa
1980,19017,123.1,IA,BREMER,Iowa
1980,19019,126.5,IA,BUCHANAN,Iowa
1980,19021,121.8,IA,BUENA VISTA,Iowa
1980,19023,124.3,IA,BUTLER,Iowa
1980,19025,123.4,IA,CALHOUN,Iowa
1980,19027,98.1,IA,CARROLL,Iowa
1980,19029,88.4,IA,CASS,Iowa
1980,19031,124.6,IA,CEDAR,Iowa
1980,19033,130.2,IA,CERRO GORDO,Iowa
1980,19035,111.9,IA,CHEROKEE,Iowa
1980,19037,122.3,IA,CHICKASAW,Iowa
1980,19039,83.7,IA,CLARKE,Iowa
1980,19041,126.3,IA,CLAY,Iowa
1980,19043,116.0,IA,CLAYTON,Iowa
1980,19045,123.0,IA,CLINTON,Iowa
1980,19047,67.8,IA,CRAWFORD,Iowa
1980,19049,96.9,IA,DALLAS,Iowa
1980,19051,105.5,IA,DAVIS,Iowa
1980,19053,83.3,IA,DECATUR,Iowa
1980,19055,124.6,IA,DELAWARE,Iowa
1980,19057,116.1,IA,DES MOINES,Iowa
1980,19059,125.5,IA,DICKINSON,Iowa
1980,19061,122.0,IA,DUBUQUE,Iowa
1980,19063,139.1,IA,EMMET,Iowa
1980,19065,125.5,IA,FAYETTE,Iowa
1980,19067,126.3,IA,FLOYD,Iowa
1980,19069,131.8,IA,FRANKLIN,Iowa
1980,19071,93.8,IA,FREMONT,Iowa
1980,19073,112.9,IA,GREENE,Iowa
1980,19075,122.4,IA,GRUNDY,Iowa
1980,19077,96.4,IA,GUTHRIE,Iowa
1980,19079,125.3,IA,HAMILTON,Iowa
1980,19081,127.7,IA,HANCOCK,Iowa
1980,19083,120.7,IA,HARDIN,Iowa
1980,19085,80.0,IA,HARRISON,Iowa
1980,19087,118.9,IA,HENRY,Iowa
1980,19089,120.4,IA,HOWARD,Iowa
1980,19091,119.7,IA,HUMBOLDT,Iowa
1980,19093,71.8,IA,IDA,Iowa
1980,19095,113.0,IA,IOWA,Iowa
1980,19097,115.0,IA,JACKSON,Iowa
1980,19099,102.9,IA,JASPER,Iowa
1980,19101,101.3,IA,JEFFERSON,Iowa
1980,19103,106.8,IA,JOHNSON,Iowa
1980,19105,124.5,IA,JONES,Iowa
1980,19107,115.9,IA,KEOKUK,Iowa
1980,19109,131.9,IA,KOSSUTH,Iowa
1980,19111,108.1,IA,LEE,Iowa
1980,19113,114.5,IA,LINN,Iowa
1980,19115,122.7,IA,LOUISA,Iowa
1980,19117,90.7,IA,LUCAS,Iowa
1980,19119,103.0,IA,LYON,Iowa
1980,19121,98.9,IA,MADISON,Iowa
1980,19123,108.1,IA,MAHASKA,Iowa
1980,19125,92.0,IA,MARION,Iowa
1980,19127,119.3,IA,MARSHALL,Iowa
1980,19129,99.0,IA,MILLS,Iowa
1980,19131,120.5,IA,MITCHELL,Iowa
1980,19133,73.8,IA,MONONA,Iowa
1980,19135,94.3,IA,MONROE,Iowa
1980,19137,84.5,IA,MONTGOMERY,Iowa
1980,19139,119.6,IA,MUSCATINE,Iowa
1980,19143,124.8,IA,OSCEOLA,Iowa
1980,19145,73.5,IA,PAGE,Iowa
1980,19147,134.4,IA,PALO ALTO,Iowa
1980,19149,83.8,IA,PLYMOUTH,Iowa
1980,19151,123.1,IA,POCAHONTAS,Iowa
1980,19153,100.0,IA,POLK,Iowa
1980,19155,98.4,IA,POTTAWATTAMIE,Iowa
1980,19157,110.7,IA,POWESHIEK,Iowa
1980,19159,54.8,IA,RINGGOLD,Iowa
1980,19161,85.8,IA,SAC,Iowa
1980,19163,132.4,IA,SCOTT,Iowa
1980,19165,87.4,IA,SHELBY,Iowa
1980,19167,110.2,IA,SIOUX,Iowa
1980,19169,126.5,IA,STORY,Iowa
1980,19171,114.2,IA,TAMA,Iowa
1980,19173,65.4,IA,TAYLOR,Iowa
1980,19175,80.7,IA,UNION,Iowa
1980,19177,93.1,IA,VAN BUREN,Iowa
1980,19179,104.6,IA,WAPELLO,Iowa
1980,19181,100.0,IA,WARREN,Iowa
1980,19183,124.5,IA,WASHINGTON,Iowa
1980,19185,95.3,IA,WAYNE,Iowa
1980,19187,127.0,IA,WEBSTER,Iowa
1980,19189,115.5,IA,WINNEBAGO,Iowa
1980,19191,117.7,IA,WINNESHIEK,Iowa
1980,19193,67.7,IA,WOODBURY,Iowa
1980,19195,120.7,IA,WORTH,Iowa
1980,19197,118.4,IA,WRIGHT,Iowa
1980,20001,36.0,KS,ALLEN,Kansas
1980,20003,16.0,KS,ANDERSON,Kansas
1980,20005,32.0,KS,ATCHISON,Kansas
1980,20009,87.0,KS,BARTON,Kansas
1980,20011,29.0,KS,BOURBON,Kansas
1980,20013,34.0,KS,BROWN,Kansas
1980,20017,21.0,KS,CHASE,Kansas
1980,20019,20.0,KS,CHAUTAUQUA,Kansas
1980,20021,18.0,KS,CHEROKEE,Kansas
1980,20023,98.0,KS,CHEYENNE,Kansas
1980,20025,105.0,KS,CLARK,Kansas
1980,20027,84.0,KS,CLAY,Kansas
1980,20029,26.0,KS,CLOUD,Kansas
1980,20031,19.0,KS,COFFEY,Kansas
1980,20037,16.0,KS,CRAWFORD,Kansas
1980,20039,28.0,KS,DECATUR,Kansas
1980,20041,29.0,KS,DICKINSON,Kansas
1980,20043,71.0,KS,DONIPHAN,Kansas
1980,20045,28.0,KS,DOUGLAS,Kansas
1980,20047,116.0,KS,EDWARDS,Kansas
1980,20055,126.0,KS,FINNEY,Kansas
1980,20057,97.0,KS,FORD,Kansas
1980,20059,27.0,KS,FRANKLIN,Kansas
1980,20061,45.0,KS,GEARY,Kansas
1980,20063,91.0,KS,GOVE,Kansas
1980,20065,85.0,KS,GRAHAM,Kansas
1980,20067,137.0,KS,GRANT,Kansas
1980,20069,41.0,KS,GRAY,Kansas
1980,20071,109.0,KS,GREELEY,Kansas
1980,20073,15.0,KS,GREENWOOD,Kansas
1980,20075,110.0,KS,HAMILTON,Kansas
1980,20079,87.0,KS,HARVEY,Kansas
1980,20081,41.0,KS,HASKELL,Kansas
1980,20083,95.0,KS,HODGEMAN,Kansas
1980,20085,26.0,KS,JACKSON,Kansas
1980,20087,22.0,KS,JEFFERSON,Kansas
1980,20089,111.0,KS,JEWELL,Kansas
