CountyFIPS,State,County,StateName
17001,IL,ADAMS,Illinois
17003,IL,ALEXANDER,Illinois
17005,IL,BOND,Illinois
17007,IL,BOONE,Illinois
17009,IL,BROWN,Illinois
17011,IL,BUREAU,Illinois
17013,IL,CALHOUN,Illinois
17015,IL,CARROLL,Illinois
17017,IL,CASS,Illinois
17019,IL,CHAMPAIGN,Illinois
17021,IL,CHRISTIAN,Illinois
17023,IL,CLARK,Illinois
17025,IL,CLAY,Illinois
17027,IL,CLINTON,Illinois
17029,IL,COLES,Illinois
17031,IL,COOK,Illinois
17033,IL,CRAWFORD,Illinois
17035,IL,CUMBERLAND,Illinois
17039,IL,DE WITT,Illinois
17041,IL,DOUGLAS,Illinois
17045,IL,EDGAR,Illinois
17047,IL,EDWARDS,Illinois
17049,IL,EFFINGHAM,Illinois
17051,IL,FAYETTE,Illinois
17053,IL,FORD,Illinois
17055,IL,FRANKLIN,Illinois
17057,IL,FULTON,Illinois
17059,IL,GALLATIN,Illinois
17061,IL,GREENE,Illinois
17063,IL,GRUNDY,Illinois
17065,IL,HAMILTON,Illinois
17067,IL,HANCOCK,Illinois
17069,IL,HARDIN,Illinois
17071,IL,HENDERSON,Illinois
17073,IL,HENRY,Illinois
17075,IL,IROQUOIS,Illinois
17077,IL,JACKSON,Illinois
17079,IL,JASPER,Illinois
17081,IL,JEFFERSON,Illinois
17083,IL,JERSEY,Illinois
17085,IL,JO DAVIESS,Illinois
17087,IL,JOHNSON,Illinois
17089,IL,KANE,Illinois
17091,IL,KANKAKEE,Illinois
17093,IL,KENDALL,Illinois
17095,IL,KNOX,Illinois
17097,IL,LAKE,Illinois
17101,IL,LAWRENCE,Illinois
17103,IL,LEE,Illinois
17105,IL,LIVINGSTON,Illinois
17107,IL,LOGAN,Illinois
17109,IL,MCDONOUGH,Illinois
17111,IL,MCHENRY,Illinois
17113,IL,MCLEAN,Illinois
17115,IL,MACON,Illinois
17117,IL,MACOUPIN,Illinois
17119,IL,MADISON,Illinois
17121,IL,MARION,Illinois
17123,IL,MARSHALL,Illinois
17125,IL,MASON,Illinois
17127,IL,MASSAC,Illinois
17129,IL,MENARD,Illinois
17131,IL,MERCER,Illinois
17133,IL,MONROE,Illinois
17135,IL,MONTGOMERY,Illinois
17137,IL,MORGAN,Illinois
17139,IL,MOULTRIE,Illinois
17141,IL,OGLE,Illinois
17143,IL,PEORIA,Illinois
17145,IL,PERRY,Illinois
17147,IL,PIATT,Illinois
17149,IL,PIKE,Illinois
17151,IL,POPE,Illinois
17153,IL,PULASKI,Illinois
17155,IL,PUTNAM,Illinois
17157,IL,RANDOLPH,Illinois
17159,IL,RICHLAND,Illinois
17161,IL,ROCK ISLAND,Illinois
17165,IL,SALINE,Illinois
17167,IL,SANGAMON,Illinois
17169,IL,SCHUYLER,Illinois
17171,IL,SCOTT,Illinois
17173,IL,SHELBY,Illinois
17175,IL,STARK,Illinois
17177,IL,STEPHENSON,Illinois
17179,IL,TAZEWELL,Illinois
17181,IL,UNION,Illinois
17183,IL,VERMILION,Illinois
17185,IL,WABASH,Illinois
17187,IL,WARREN,Illinois
17189,IL,WASHINGTON,Illinois
17191,IL,WAYNE,Illinois
17193,IL,WHITE,Illinois
17195,IL,WHITESIDE,Illinois
17197,IL,WILL,Illinois
17199,IL,WILLIAMSON,Illinois
17201,IL,WINNEBAGO,Illinois
17203,IL,WOODFORD,Illinois
18001,IN,ADAMS,Indiana
18003,IN,ALLEN,Indiana
18005,IN,BARTHOLOMEW,Indiana
18007,IN,BENTON,Indiana
18009,IN,BLACKFORD,Indiana
18011,IN,BOONE,Indiana
18013,IN,BROWN,Indiana
18015,IN,CARROLL,Indiana
18017,IN,CASS,Indiana
18019,IN,CLARK,Indiana
18021,IN,CLAY,Indiana
18023,IN,CLINTON,Indiana
18025,IN,CRAWFORD,Indiana
18027,IN,DAVIESS,Indiana
18029,IN,DEARBORN,Indiana
18031,IN,DECATUR,Indiana
18035,IN,DELAWARE,Indiana
18037,IN,DUBOIS,Indiana
18039,IN,ELKHART,Indiana
18041,IN,FAYETTE,Indiana
18043,IN,FLOYD,Indiana
18045,IN,FOUNTAIN,Indiana
18047,IN,FRANKLIN,Indiana
18049,IN,FULTON,Indiana
18051,IN,GIBSON,Indiana
18053,IN,GRANT,Indiana
18055,IN,GREENE,Indiana
18057,IN,HAMILTON,Indiana
18059,IN,HANCOCK,Indiana
18061,IN,HARRISON,Indiana
18063,IN,HENDRICKS,Indiana
18065,IN,HENRY,Indiana
18067,IN,HOWARD,Indiana
18069,IN,HUNTINGTON,Indiana
18071,IN,JACKSON,Indiana
18073,IN,JASPER,Indiana
18075,IN,JAY,Indiana
18077,IN,JEFFERSON,Indiana
18079,IN,JENNINGS,Indiana
18081,IN,JOHNSON,Indiana
18083,IN,KNOX,Indiana
18085,IN,KOSCIUSKO,Indiana
18087,IN,LAGRANGE,Indiana
18089,IN,LAKE,Indiana
18093,IN,LAWRENCE,Indiana
18095,IN,MADISON,Indiana
18097,IN,MARION,Indiana
18099,IN,MARSHALL,Indiana
18101,IN,MARTIN,Indiana
